,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
0,158023,L. Messi,27,Argentina,93,95,FC Barcelona,100500000.0,550000.0
1,20801,Cristiano Ronaldo,29,Portugal,92,92,Real Madrid CF,78500000.0,375000.0
2,167495,M. Neuer,28,Germany,90,90,FC Bayern Munich,63500000.0,290000.0
3,41236,Z. Ibrahimović,32,Sweden,90,90,Paris Saint-Germain,52500000.0,275000.0
4,9014,A. Robben,30,Netherlands,90,90,FC Bayern Munich,54500000.0,265000.0
5,176580,L. Suárez,27,Uruguay,89,89,FC Barcelona,49500000.0,300000.0
6,41,Iniesta,30,Spain,89,89,FC Barcelona,36000000.0,245000.0
7,183277,E. Hazard,23,Belgium,88,90,Chelsea,40500000.0,195000.0
8,156616,F. Ribéry,31,France,88,88,FC Bayern Munich,33000000.0,190000.0
9,121944,B. Schweinsteiger,29,Germany,88,88,FC Bayern Munich,39000000.0,185000.0
10,188545,R. Lewandowski,25,Poland,87,89,FC Bayern Munich,44000000.0,205000.0
11,177003,L. Modrić,28,Croatia,87,87,Real Madrid CF,36500000.0,215000.0
12,173731,G. Bale,24,Wales,87,91,Real Madrid CF,39000000.0,195000.0
13,168542,David Silva,28,Spain,87,87,Manchester City,40000000.0,235000.0
14,164240,Thiago Silva,29,Brazil,87,87,Paris Saint-Germain,29000000.0,185000.0
15,155862,Sergio Ramos,28,Spain,87,87,Real Madrid CF,31500000.0,215000.0
16,153079,S. Agüero,26,Argentina,87,89,Manchester City,45500000.0,230000.0
17,121939,P. Lahm,30,Germany,87,87,FC Bayern Munich,24500000.0,185000.0
18,7826,R. van Persie,30,Netherlands,87,87,Manchester United,35000000.0,230000.0
19,198710,J. Rodríguez,22,Colombia,86,92,Real Madrid CF,35000000.0,195000.0
20,192318,M. Götze,22,Germany,86,90,FC Bayern Munich,35000000.0,170000.0
21,192119,T. Courtois,22,Belgium,86,90,Chelsea,27000000.0,150000.0
22,190871,Neymar,22,Brazil,86,91,FC Barcelona,31000000.0,220000.0
23,189596,T. Müller,24,Germany,86,88,FC Bayern Munich,39000000.0,195000.0
24,188350,M. Reus,25,Germany,86,88,Borussia Dortmund,40000000.0,175000.0
25,183907,J. Boateng,25,Germany,86,88,FC Bayern Munich,35500000.0,190000.0
26,183898,A. Di María,26,Argentina,86,86,Manchester United,45500000.0,235000.0
27,178603,M. Hummels,25,Germany,86,88,Borussia Dortmund,35500000.0,190000.0
28,176635,M. Özil,25,Germany,86,87,Arsenal,44000000.0,185000.0
29,167397,Falcao,28,Colombia,86,86,Manchester United,40000000.0,230000.0
30,139720,V. Kompany,28,Belgium,86,86,Manchester City,31500000.0,215000.0
31,54050,W. Rooney,28,England,86,86,Manchester United,40000000.0,230000.0
32,20289,Y. Touré,31,Ivory Coast,86,86,Manchester City,28500000.0,185000.0
33,10535,Xavi,34,Spain,86,86,FC Barcelona,15500000.0,150000.0
34,193080,De Gea,23,Spain,85,88,Manchester United,18500000.0,150000.0
35,189511,Sergio Busquets,25,Spain,85,88,FC Barcelona,20000000.0,170000.0
36,184941,A. Sánchez,25,Chile,85,87,Arsenal,24000000.0,165000.0
37,182521,T. Kroos,24,Germany,85,88,Real Madrid CF,23000000.0,170000.0
38,181872,A. Vidal,27,Chile,85,87,Juventus,23000000.0,190000.0
39,179844,Diego Costa,25,Spain,85,87,Chelsea,26500000.0,165000.0
40,179813,E. Cavani,27,Uruguay,85,85,Paris Saint-Germain,25500000.0,205000.0
41,178088,Juan Mata,26,Spain,85,86,Manchester United,27000000.0,185000.0
42,177610,Javi Martinez,25,Spain,85,86,FC Bayern Munich,21000000.0,150000.0
43,167948,H. Lloris,27,France,85,85,Tottenham Hotspur,21000000.0,140000.0
44,165153,K. Benzema,26,France,85,87,Real Madrid CF,27000000.0,205000.0
45,162895,Cesc Fàbregas,27,Spain,85,85,Chelsea,23000000.0,170000.0
46,146562,Santi Cazorla,29,Spain,85,85,Arsenal,22500000.0,160000.0
47,143001,C. Tévez,30,Argentina,85,85,Juventus,21000000.0,160000.0
48,48940,P. Čech,32,Czech Republic,85,85,Chelsea,18000000.0,165000.0
49,45197,Xabi Alonso,32,Spain,85,85,FC Bayern Munich,11500000.0,165000.0
50,195864,P. Pogba,21,France,84,91,Juventus,18500000.0,135000.0
51,192985,K. De Bruyne,23,Belgium,84,87,VfL Wolfsburg,23000000.0,125000.0
52,188152,Oscar,22,Brazil,84,88,Chelsea,21000000.0,155000.0
53,182493,D. Godín,28,Uruguay,84,84,Atlético Madrid,19000000.0,170000.0
54,179846,S. Khedira,27,Germany,84,86,Real Madrid CF,19500000.0,170000.0
55,177509,M. Benatia,27,Morocco,84,86,FC Bayern Munich,20500000.0,155000.0
56,167664,G. Higuaín,26,Argentina,84,86,Napoli,27000000.0,155000.0
57,165239,S. Nasri,27,France,84,84,Manchester City,23000000.0,175000.0
58,152729,Piqué,27,Spain,84,87,FC Barcelona,20500000.0,190000.0
59,148803,K. Huntelaar,30,Netherlands,84,84,FC Schalke 04,21000000.0,130000.0
60,143745,A. Turan,27,Turkey,84,86,Atlético Madrid,23000000.0,175000.0
61,139869,W. Sneijder,30,Netherlands,84,84,Galatasaray SK,21000000.0,110000.0
62,138956,G. Chiellini,29,Italy,84,84,Juventus,17500000.0,145000.0
63,53302,D. De Rossi,30,Italy,84,84,Roma,14500000.0,115000.0
64,5479,Casillas,33,Spain,84,84,Real Madrid CF,16500000.0,135000.0
65,197781,Isco,22,Spain,83,88,Real Madrid CF,15000000.0,125000.0
66,197445,D. Alaba,22,Austria,83,88,FC Bayern Munich,11500000.0,120000.0
67,196144,J. Martínez,27,Colombia,83,83,FC Porto,18500000.0,125000.0
68,191202,N. Matić,25,Serbia,83,86,Chelsea,14500000.0,120000.0
69,189505,Pedro,26,Spain,83,86,FC Barcelona,17500000.0,165000.0
70,189362,Hulk,27,Brazil,83,83,Zenit St. Petersburg,18500000.0,135000.0
71,189358,S. Kagawa,25,Japan,83,85,Borussia Dortmund,19000000.0,145000.0
72,186942,I. Gündoğan,23,Germany,83,87,Borussia Dortmund,15000000.0,130000.0
73,182494,F. Muslera,28,Uruguay,83,86,Galatasaray SK,15500000.0,95000.0
74,181783,M. Mandžukić,28,Croatia,83,83,Atlético Madrid,17000000.0,165000.0
75,180930,E. Džeko,28,Bosnia Herzegovina,83,83,Manchester City,17000000.0,165000.0
76,180206,M. Pjanić,24,Bosnia Herzegovina,83,86,Roma,16500000.0,105000.0
77,174543,C. Bravo,31,Chile,83,83,FC Barcelona,14000000.0,115000.0
78,173221,A. Candreva,27,Italy,83,85,Lazio,18500000.0,125000.0
79,173210,C. Marchisio,28,Italy,83,84,Juventus,15500000.0,150000.0
80,171833,D. Sturridge,24,England,83,86,Liverpool,18500000.0,145000.0
81,170890,B. Matuidi,27,France,83,85,Paris Saint-Germain,14000000.0,150000.0
82,170481,E. Garay,27,Argentina,83,83,Zenit St. Petersburg,14500000.0,125000.0
83,169416,C. Vela,25,Mexico,83,86,Real Sociedad,19000000.0,100000.0
84,168651,I. Rakitić,26,Croatia,83,84,FC Barcelona,19500000.0,165000.0
85,168609,Miranda,29,Brazil,83,83,Atlético Madrid,12500000.0,125000.0
86,168435,S. Sirigu,27,Italy,83,83,Paris Saint-Germain,15000000.0,150000.0
87,167628,S. Ruffier,27,France,83,84,AS Saint-Étienne,15000000.0,105000.0
88,162835,S. Handanovič,29,Slovenia,83,83,Inter,16000000.0,115000.0
89,162347,João Moutinho,27,Portugal,83,83,AS Monaco,16500000.0,105000.0
90,158133,J. Farfán,29,Peru,83,83,FC Schalke 04,14500000.0,105000.0
91,150724,J. Hart,27,England,83,83,Manchester City,15000000.0,150000.0
92,146530,Dani Alves,31,Brazil,83,83,FC Barcelona,10000000.0,145000.0
93,146439,Negredo,28,Spain,83,83,Valencia CF,17000000.0,135000.0
94,142784,P. Zabaleta,29,Argentina,83,83,Manchester City,12500000.0,125000.0
95,142754,J. Mascherano,30,Argentina,83,83,FC Barcelona,11500000.0,125000.0
96,140601,N. Vidić,32,Serbia,83,83,Inter,9000000.0,125000.0
97,137186,A. Barzagli,33,Italy,83,83,Juventus,7000000.0,100000.0
98,120533,Pepe,31,Portugal,83,83,Real Madrid CF,10000000.0,125000.0
99,106573,Victor Valdés,32,Spain,83,83,Manchester United,13000000.0,125000.0
100,13732,J. Terry,33,England,83,83,Chelsea,7000000.0,100000.0
101,7763,A. Pirlo,35,Italy,83,83,Juventus,4400000.0,120000.0
102,1179,G. Buffon,36,Italy,83,83,Juventus,7000000.0,115000.0
103,200949,Lucas,21,Brazil,82,87,Paris Saint-Germain,15000000.0,120000.0
104,199556,M. Verratti,21,Italy,82,90,Paris Saint-Germain,13500000.0,110000.0
105,194765,A. Griezmann,23,France,82,88,Atlético Madrid,15000000.0,135000.0
106,193747,Koke,22,Spain,82,85,Atlético Madrid,13500000.0,115000.0
107,193301,A. Lacazette,23,France,82,86,Olympique Lyonnais,16500000.0,105000.0
108,192563,B. Leno,22,Germany,82,85,Bayer 04 Leverkusen,11500000.0,80000.0
109,192448,M. ter Stegen,22,Germany,82,86,FC Barcelona,11500000.0,110000.0
110,192366,N. Otamendi,26,Argentina,82,86,Valencia CF,16000000.0,110000.0
111,190460,C. Eriksen,22,Denmark,82,86,Tottenham Hotspur,15000000.0,110000.0
112,189242,Coutinho,22,Brazil,82,86,Liverpool,15000000.0,125000.0
113,188428,S. Doumbia,26,Ivory Coast,82,84,Roma,19500000.0,125000.0
114,186561,A. Ramsey,23,Wales,82,86,Arsenal,15000000.0,130000.0
115,184144,N. Gaitán,26,Argentina,82,84,SL Benfica,18000000.0,120000.0
116,180403,Willian,25,Brazil,82,84,Chelsea,17000000.0,125000.0
117,179944,David Luiz,27,Brazil,82,83,Paris Saint-Germain,14500000.0,170000.0
118,179784,B. Höwedes,26,Germany,82,83,FC Schalke 04,16000000.0,110000.0
119,177134,D. Ba,29,Senegal,82,82,Beşiktaş JK,16000000.0,85000.0
120,176676,Marcelo,26,Brazil,82,85,Real Madrid CF,16000000.0,150000.0
121,175943,D. Mertens,27,Belgium,82,85,Napoli,18500000.0,125000.0
122,173771,L. Piszczek,29,Poland,82,82,Borussia Dortmund,12500000.0,115000.0
123,172879,Sokratis,26,Greece,82,84,Borussia Dortmund,16000000.0,140000.0
124,172871,J. Vertonghen,27,Belgium,82,82,Tottenham Hotspur,14500000.0,125000.0
125,172723,A. Begović,27,Bosnia Herzegovina,82,82,Stoke City,15000000.0,105000.0
126,171877,M. Hamšik,26,Slovakia,82,84,Napoli,19500000.0,140000.0
127,165580,Diego Alves,29,Brazil,82,84,Valencia CF,16000000.0,90000.0
128,165229,L. Koscielny,28,France,82,82,Arsenal,13500000.0,150000.0
129,164994,J. Błaszczykowski,28,Poland,82,82,Borussia Dortmund,15500000.0,155000.0
130,163705,S. Mandanda,29,France,82,82,Olympique de Marseille,16000000.0,100000.0
131,162409,G. Rossi,27,Italy,82,82,Fiorentina,18500000.0,135000.0
132,158625,Dante,30,Brazil,82,82,FC Bayern Munich,11500000.0,125000.0
